ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:341(chunk_IDAT)
       55    0.000    0.000    0.000    0.000 {_tkinter._flatten}
        1    0.000    0.000    0.000    0.000 Image.py:490(Image)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       25    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       60    0.000    0.000    0.000    0.000 Tkinter.py:1222(_root)
      100    0.000    0.000    0.000    0.000 _binary.py:17(i8)
        5    0.000    0.000    0.001    0.000 Tkinter.py:2093(destroy)
       20    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        6    0.000    0.000    0.000    0.000 Tkinter.py:432(destroy)
       13    0.000    0.000    0.000    0.000 ntpath.py:63(join)
        3    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.003    0.003 Tkinter.py:1855(destroy)
       20    0.000    0.000    0.030    0.002 Tkinter.py:2312(create_image)
       41    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.026    0.026 Tkinter.py:1794(__init__)
       13    0.000    0.000    0.000    0.000 abc.py:105(register)
       71    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
       41    0.000    0.000    0.000    0.000 Tkinter.py:3322(__str__)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
       30    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       11    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:94(__init__)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 {method 'readline' of 'file' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
      120    0.000    0.000    0.000    0.000 startGame.py:119(<genexpr>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
       11    0.000    0.000    0.000    0.000 {_sre.compile}
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:121(close)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:370(ImageFileDirectory_v2)
       11    0.000    0.000    0.004    0.000 re.py:192(compile)
       30    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        3    0.000    0.000    0.000    0.000 Tkinter.py:1200(_register)
      120    0.000    0.000    0.000    0.000 startGame.py:125(<genexpr>)
